Name,avg_salary,avg_raptor,season_end,season_start
Brandon Paul,815615,-1.2,2018,2017
Brandon Roy,6791480.143,1.285714286,2013,2006
Brandon Rush,2519519.556,-4.755555556,2017,2008
Brandon Williams,287500,3.7,1999,1998
Brendan Haywood,4185091.533,-1.806666667,2015,2001
Brent Barry,3671575.714,2.471428571,2009,1995
Brent Price,1786666.667,-1.722222222,2002,1992
Brent Scott,247500,-6.4,1997,1996
Brett Szabo,220000,-6.1,1997,1996
Brevin Knight,2963162.167,1.108333333,2009,1997
Brian Cardinal,3277882.917,-0.875,2012,2000
Brian Cook,1955569.333,-5.033333333,2012,2003
Brian Davis,150000,-4.4,1994,1993
Brian Evans,615108.3333,-2.833333333,1999,1996
Brian Grant,7158084.769,-1.853846154,2006,1994
Brian Howard,200000,-3.3,1993,1992
Brian Oliver,353666.6667,-7.466666667,1995,1990
Brian Quinnett,405000,-3.7,1992,1990
Brian Roberts,1580075.4,-2.26,2017,2012
Brian Rowsom,100000,-0.6,1989,1988
Brian Scalabrine,1829698.909,-3.472727273,2012,2001
Brian Shaw,1774832.188,-4.025,2003,1988
Brian Skinner,1777323.286,-5.092857143,2012,1998
Brice Johnson,1302540,17.2,2018,2016
Britton Johnsen,45058.5,-6.6,2005,2003
Brook Lopez,11770448.7,0.33,2018,2008
Brook Steppe,100000,-3,1985,1984
Brooks Thompson,701825,-0.825,1997,1994
Bruce Bowen,2361529.167,-0.316666667,2009,1997
Bruno Caboclo,1755806.25,-11.75,2018,2014
Bruno Sundov,561748.75,-8.8875,2005,1998
Bryan Warrick,110000,-3.1,1985,1984
Bryant Reeves,5180557.667,-4.733333333,2001,1995
Bryant Stith,3018100,-1.2,2002,1992
Bryce Cotton,123871.25,-10.35,2016,2014
Bryce Dejean-Jones,281659,-3.6,2016,2015
Bryce Drew,1174193.333,-3.316666667,2004,1998
Bryn Forbes,928041,-5.55,2018,2016
Bryon Russell,1985115.462,0.923076923,2006,1993
Bubba Wells,260000,-4.6,1998,1997
Buck Johnson,483000,-1.4,1993,1987
Buck Williams,1906307.692,0.076923077,1998,1984
Buddy Hield,3596340,-1,2018,2016
Butch Carter,160000,-2.2,1985,1984
Byron Houston,650000,-2.275,1996,1992
Byron Irvin,375000,1.4,1991,1990
Byron Mullens,1362762.6,-8.06,2014,2009
Byron Scott,905625,0.95,1997,1984
C.J. Watson,2495579.222,-0.822222222,2017,2007
Cal Bowdler,1102800,-2.5,2002,1999
Calbert Cheaney,2310000,-2.661538462,2006,1993
Caldwell Jones,289375,-3.9,1989,1984
Caleb Swanigan,1465920,-3.9,2018,2017
Calvin Booth,3242633.917,-0.933333333,2009,1999
Calvin Natt,670500,-0.95,1989,1984
Cameron Bairstow,676197.5,-6.45,2016,2014
Cameron Payne,2112480,-2.966666667,2018,2015
Carey Scurry,70000,0.8,1986,1985
Caris LeVert,1597380,-1.05,2018,2016
Carl Henry,85000,-3.3,1986,1985
Carl Herrera,1209722.222,-4.788888889,1999,1991
Carl Landry,4603018.111,-1.611111111,2016,2007
Carl Thomas,259875,-2,1998,1996
Carldell Johnson,168035,-1.9,2012,2011
Carlos Arroyo,2245506.111,-2.077777778,2011,2001
Carlos Boozer,10436409.71,-0.607142857,2015,2002
Carlos Clark,65000,-2.8,1985,1984
Carlos Delfino,2284629.625,-0.275,2013,2004
Carlos Rogers,1470918.75,-1.475,2002,1994
Carmelo Anthony,15466761,1.08,2018,2003
Caron Butler,5937490.286,-0.571428571,2016,2002
Cartier Martin,640563.2,-2.4,2015,2008
Casey Jacobsen,965267.25,-1.4,2008,2002
Casey Shaw,287500,-25.5,1999,1998
Cedi Osman,2642857,0.5,2018,2017
Cedric Bozeman,412718,-5.5,2007,2006
Cedric Ceballos,1814772.727,-0.263636364,2001,1990
Cedric Henderson,1720000,-3.38,2002,1997
Cedric Jackson,53834,-15.5,2010,2009
Cedric Maxwell,628666.6667,-0.5,1988,1984
Cedric Simmons,1629120,-8.6,2009,2006
Cezary Trybanski,1550000,-3.75,2004,2002
Chandler Parsons,11136429.14,0.471428571,2018,2011
Channing Frye,5045818.917,-0.4,2018,2005
Charles Barkley,2907200,5.553333333,2000,1984
Charles Davis,120000,-2.05,1989,1985
Charles Jenkins,617899.5,-4.6,2013,2011
Charles Jones,358886.1538,-2.284615385,2000,1985
Charles O'Bannon,320000,-2.55,1999,1997
Charles Oakley,2741000,-0.152941176,2003,1985
Charles Pittman,92500,-3.5,1986,1984
Charles Shackleford,963000,-1.725,1995,1988
Charles Smith,1435620.571,-3.621428571,2006,1988
Charles Thomas,130000,-5.8,1992,1991
Charlie Bell,2281980.429,-1.328571429,2011,2001
Charlie Villanueva,4688891.455,-2.354545455,2016,2005
Charlie Ward,2948227.273,1.209090909,2005,1994
Chase Budinger,2279506.25,-0.3,2016,2009
Chasson Randle,270585.5,-0.4,2017,2016
Chauncey Billups,5957095.556,1.944444444,2014,1997
Cheick Diallo,928041,-5.75,2018,2016
Cheikh Samb,612372,-5.35,2009,2007
Cherokee Parks,1238374.556,-3.511111111,2004,1995
Chinanu Onuaku,928041,-14.45,2018,2016
Chris Andersen,2567140.067,0.046666667,2017,2001
Chris Anstey,937606.6667,-3,2000,1997
Chris Bosh,12787837.15,1.269230769,2016,2003
Chris Carr,591428.5714,-4.2,2001,1995
Chris Childs,2850000,-0.266666667,2003,1994
Chris Copeland,1927151,-5.4,2016,2012
Chris Corchiani,225000,-0.45,1994,1992
Chris Crawford,1863142.857,-1.871428571,2004,1997
